time,growth_rate,length
1208330992,11.3914,560.8923
1208334592,11.3914,561.3669
1208338192,11.3914,561.8416
1208341792,11.3914,562.3163
1208345392,11.3914,562.791
1208348992,11.3914,563.2656
1208352592,11.3914,563.7403
1208356192,11.3914,564.215
1208359792,11.3914,564.6896
1208363392,11.3914,565.1643
1208366992,11.3914,565.639
1208370592,11.3914,566.1136
1208374192,11.3914,566.5883
1208377792,11.3914,567.063
1208381392,11.3914,567.5377
1208384992,11.3914,568.0123
1208388592,11.3914,568.487
1208392192,11.3914,568.9617
1208395792,11.3914,569.4363
1208399392,11.3914,569.911
1208402992,11.3914,570.3857
1208406592,11.3914,570.8604
1208410192,11.3914,571.335
1208413792,11.3914,571.8097
1208417392,11.3914,572.2844
1208420992,11.3914,572.759
1208424592,11.3914,573.2337
1208428192,11.3914,573.7084
1208431792,11.3914,574.183
1208435392,11.3914,574.6577
1208438992,11.3914,575.1324
1208442592,11.3914,575.6071
1208446192,11.3914,576.0817
1208449792,11.3914,576.5564
1208453392,11.3914,577.0311
1208456992,11.3914,577.5057
1208460592,11.3914,577.9804
1208464192,11.3914,578.4551
1208467792,11.3914,578.9297
1208471392,11.3914,579.4044
1208474992,11.3914,579.8791
1208478592,11.3914,580.3538
1208482192,11.3914,580.8284
1208485792,11.3914,581.3031
1208489392,11.3914,581.7778
1208492992,11.3914,582.2524
1208496592,11.3914,582.7271
1208500192,11.3914,583.2018
1208503792,11.3914,583.6765
1208507392,11.3914,584.1511
1208510992,11.3914,584.6258
1208514592,11.3914,585.1005
1208518192,11.3914,585.5751
1208521792,11.3914,586.0498
1208525392,11.3914,586.5245
1208528992,11.3914,586.9991
1208532592,11.3914,587.4738
1208536192,11.3914,587.9485
1208539792,11.3914,588.4232
1208543392,11.3914,588.8978
1208546992,11.3914,589.3725
1208550592,11.3914,589.8472
1208554192,11.3914,590.3218
1208557792,11.3914,590.7965
1208561392,11.3914,591.2712
1208564992,11.3914,591.7458
1208568592,11.3914,592.2205
1208572192,11.3914,592.6952
1208575792,11.3914,593.1699
1208579392,11.3914,593.6445
1208582992,11.3914,594.1192
1208586592,11.3914,594.5939
1208590192,11.3914,595.0685
1208593792,11.3914,595.5432
1208597392,11.3914,596.0179
1208600992,11.3914,596.4926
1208604592,11.3914,596.9672
1208608192,11.3914,597.4419
1208611792,11.3914,597.9166
1208615392,11.3914,598.3912
1208618992,11.3914,598.8659
1208622592,11.3914,599.3406
1208626192,11.3914,599.8152
1208629792,11.3914,600.2899
1208633392,11.3914,600.7646
1208636992,11.3914,601.2393
1208640592,11.3914,601.7139
1208644192,11.3914,602.1886
1208647792,11.3914,602.6633
1208651392,11.3914,603.1379
1208654992,11.3914,603.6126
1208658592,11.3914,604.0873
1208662192,11.3914,604.562
1208665792,11.3914,605.0366
1208669392,11.3914,605.5113
1208672992,11.3914,605.986
1208676592,11.3914,606.4606
1208680192,11.3914,606.9353
1208683792,11.3914,607.41
1208687392,11.3914,607.8846
1208690992,11.3914,608.3593
1208694592,11.3914,608.834
1208698192,11.3914,609.3087
1208701792,11.3914,609.7833
1208705392,11.3914,610.258
1208708992,11.3914,610.7327
1208712592,11.3914,611.2073
1208716192,11.3914,611.682
1208719792,11.3914,612.1567
1208723392,11.3914,612.6313
1208726992,11.3914,613.106
1208730592,11.3914,613.5807
1208734192,11.3914,614.0554
1208737792,11.3914,614.53
1208741392,11.3914,615.0047
1208744992,11.3914,615.4794
1208748592,11.3914,615.954
1208752192,11.3914,616.4287
1208755792,11.3914,616.9034
1208759392,11.3914,617.3781
1208762992,11.3914,617.8527
1208766592,11.3914,618.3274
1208770192,11.3914,618.8021
1208773792,11.3914,619.2767
1208777392,11.3914,619.7514
1208780992,11.3914,620.2261
1208784592,11.3914,620.7007
1208788192,11.3914,621.1754
1208791792,11.3914,621.6501
1208795392,11.3914,622.1248
1208798992,11.3914,622.5994
1208802592,11.3914,623.0741
1208806192,11.3914,623.5488
1208809792,11.3914,624.0234
1208813392,11.3914,624.4981
1208816992,11.3914,624.9728
1208820592,11.3914,625.4474
1208824192,11.3914,625.9221
1208827792,11.3914,626.3968
1208831392,11.3914,626.8715
1208834992,11.3914,627.3461
1208838592,11.3914,627.8208
1208842192,11.3914,628.2955
1208845792,11.3914,628.7701
1208849392,11.3914,629.2448
1208852992,11.3914,629.7195
1208856592,11.3914,630.1942
1208860192,11.3914,630.6688
1208863792,11.3914,631.1435
1208867392,11.3914,631.6182
1208870992,11.3914,632.0928
1208874592,11.3914,632.5675
1208878192,11.3914,633.0422
1208881792,11.3914,633.5168
1208885392,11.3914,633.9915
1208888992,11.3914,634.4662
1208892592,11.3914,634.9409
1208896192,11.3914,635.4155
1208899792,11.3914,635.8902
1208903392,11.3914,636.3649
1208906992,11.3914,636.8395
1208910592,11.3914,637.3142
1208914192,11.3914,637.7889
1208917792,11.3914,638.2635
1208921392,11.3914,638.7382
1208924992,11.3914,639.2129
1208928592,11.3914,639.6876
1208932192,11.3914,640.1622
1208935792,11.3914,640.6369
1208939392,11.3914,641.1116
1208942992,11.3914,641.5862
1208946592,11.3914,642.0609
1208950192,11.3914,642.5356
1208953792,11.3914,643.0103
1208957392,11.3914,643.4849
1208960992,11.3914,643.9596
1208964592,11.3914,644.4343
1208968192,11.3914,644.9089
1208971792,11.3914,645.3836
1208975392,11.3914,645.8583
1208978992,11.3914,646.3329
1208982592,11.3914,646.8076
1208986192,11.3914,647.2823
1208989792,11.3914,647.757
1208993392,11.3914,648.2316
1208996992,11.3914,648.7063
1209000592,11.3914,649.181
1209004192,11.3914,649.6556
1209007792,11.3914,650.1303
1209011392,11.3914,650.605
1209014992,11.3914,651.0797
1209018592,11.3914,651.5543
1209022192,11.3914,652.029
1209025792,11.3914,652.5037
1209029392,11.3914,652.9783
1209032992,11.3914,653.453
1209036592,11.3914,653.9277
1209040192,11.3914,654.4023
1209043792,11.3914,654.877
1209047392,11.3914,655.3517
1209050992,11.3914,655.8264
1209054592,11.3914,656.301
1209058192,11.3914,656.7757
1209061792,11.3914,657.2504
1209065392,11.3914,657.725
1209068992,11.3914,658.1997
1209072592,11.3914,658.6744
1209076192,11.3914,659.149
1209079792,11.3914,659.6237
1209083392,11.3914,660.0984
1209086992,11.3914,660.5731
1209090592,11.3914,661.0477
1209094192,11.3914,661.5224
1209097792,11.3914,661.9971
1209101392,11.3914,662.4717
1209104992,11.3914,662.9464
1209108592,11.3914,663.4211
1209112192,11.3914,663.8958
1209115792,11.3914,664.3704
1209119392,11.3914,664.8451
1209122992,11.3914,665.3198
1209126592,11.3914,665.7944
1209130192,11.3914,666.2691
1209133792,11.3914,666.7438
1209137392,11.3914,667.2184
1209140992,11.3914,667.6931
1209144592,11.3914,668.1678
1209148192,11.3914,668.6425
